id,DisplayName,reputation,UpVotes,DownVotes,views,CreationDate,Age,LastAccessDate,NumberOFAnswers,NumberOFQuestions
"61164","Erik Funkenbusch","75919","550","480","6495","2009-02-01 09:57:36","50","2017-11-12 01:48:53","2495","132"
"64174","Sean Owen","54076","2856","1455","16489","2009-02-09 13:32:50","","2017-11-10 16:25:41","1431","13"
"67392","Richard","80668","4185","424","5981","2009-02-17 14:18:26","49","2017-11-11 19:20:40","2362","5"
"77779","Yishai","65147","3334","38","5904","2009-03-13 15:49:21","","2017-11-10 17:03:51","947","87"
"80860","kennebec","68936","84","27","1523","2009-03-21 13:25:58","","2017-06-24 23:41:54","1135","0"
"82156","emmby","59622","266","13","3894","2009-03-24 18:31:56","","2017-11-11 19:24:13","157","156"
"83109","David M","58946","1381","246","2809","2009-03-26 13:17:47","50","2017-10-10 08:18:08","1105","7"
"96656","Mathias Bynens","87309","2873","114","7225","2009-04-27 16:47:20","29","2017-11-11 17:27:13","462","26"
"105570","Dan Tao","86501","2637","1","6322","2009-05-12 18:49:17","","2017-11-10 07:35:10","1046","264"
"111335","Pavel Minaev","79831","1205","216","13295","2009-05-22 22:31:36","32","2017-11-12 03:04:02","1009","12"
"119549","Jacob","51203","4413","30","3184","2009-06-09 01:56:45","39","2017-11-10 22:23:15","1481","98"
"127724","Artefacto","73834","1680","319","3515","2009-06-23 17:17:43","31","2017-11-10 18:10:26","1323","17"
"131368","ChssPly76","79243","956","99","4385","2009-06-30 21:57:09","41","2017-11-11 02:37:52","839","10"
"131874","Clodoaldo Neto","62151","1864","532","2711","2009-07-01 17:59:18","97","2017-11-11 20:43:27","2058","78"
"136540","Michael Aaron Safyan","70120","2928","324","7207","2009-07-10 21:31:19","30","2017-11-12 04:00:37","1487","13"
"139746","Pascal Cuoq","63020","4411","3409","9450","2009-07-16 20:06:25","42","2017-11-11 19:14:14","1096","63"
"150634","Joseph Mansfield","80467","1715","241","6409","2009-08-04 21:24:33","27","2017-11-11 23:38:05","1656","38"
"2598","jjnguy","97477","3828","164","19653","2008-08-23 13:13:34","31","2017-11-10 16:28:05","716","46"
"2688","bdukes","99528","3507","535","4315","2008-08-24 14:48:05","33","2017-11-10 18:56:00","694","19"
"3827","Eugene Yokota","68409","1779","34","4927","2008-08-31 04:42:17","37","2017-11-08 06:47:49","908","41"
"4086","Ferruccio","73727","4494","88","6118","2008-09-01 18:01:18","","2017-11-11 17:38:01","843","55"
"4376","Nathan Long","63136","1668","57","4500","2008-09-03 09:30:40","","2017-11-10 21:15:00","282","350"
"4853","Owen","58324","497","29","1541","2008-09-06 01:42:22","","2017-05-19 13:11:46","241","8"
"6148","Trey Jackson","63038","1648","42","2722","2008-09-12 16:33:46","45","2017-11-10 21:10:29","770","7"
"6330","Kendall Helmstetter Gelner","67264","2133","280","6777","2008-09-14 07:37:48","48","2017-11-04 20:24:09","1383","20"
"7586","Kobi","96431","7837","364","9854","2008-09-15 14:00:55","34","2017-11-11 22:58:33","1394","23"
"7595","Pablo Fernandez","59339","1146","152","4827","2008-09-15 14:01:51","32","2017-11-07 21:06:04","398","146"
"8155","David B","79178","2136","214","2954","2008-09-15 15:17:07","","2017-10-25 08:37:05","1632","25"
"8355","cjm","54032","2590","126","2654","2008-09-15 15:47:12","46","2017-11-09 03:32:32","716","16"
"8446","Roger Lipscombe","51241","1051","402","4559","2008-09-15 16:03:14","42","2017-11-11 22:37:32","626","274"
"8655","robertc","55819","1149","82","3083","2008-09-15 16:33:06","46","2017-11-10 16:29:05","723","10"
"8747","Robᵩ","97750","5454","674","5777","2008-09-15 16:47:33","","2017-11-11 00:51:40","2805","5"
"9859","rampion","57388","7805","74","3235","2008-09-15 20:13:55","37","2017-11-10 14:10:55","623","248"
"10585","Eran Galperin","70117","514","110","3282","2008-09-16 00:09:07","36","2017-08-09 06:47:10","294","12"
"12030","Nick Johnson","91887","3469","312","14939","2008-09-16 12:55:37","35","2017-11-11 22:33:05","2294","18"
"12349","yfeldblum","55568","850","105","2128","2008-09-16 14:01:26","","2017-11-09 18:17:14","846","4"
"12707","Quintin Robinson","62432","1105","187","3794","2008-09-16 15:21:45","34","2016-01-28 21:42:21","699","2"
"13018","annakata","57789","2642","77","10765","2008-09-16 16:40:38","","2015-08-27 08:31:17","846","16"
"13913","Patrick Desjardins","78755","2602","59","7670","2008-09-16 21:17:03","","2017-11-10 23:39:14","633","210"
"14069","paxos1977","52248","2715","38","2323","2008-09-16 21:52:24","40","2017-10-10 20:50:56","178","60"
"14113","EfForEffort","54532","121","4","2230","2008-09-16 22:02:12","34","2017-11-11 22:33:40","38","11"
"15541","leppie","90647","3876","6556","15017","2008-09-17 10:20:08","42","2017-11-11 06:45:05","2044","45"
"15809","Mecki","68220","712","63","4067","2008-09-17 12:56:03","39","2017-11-11 17:26:42","423","39"
"18255","Cade Roux","68860","4624","262","8013","2008-09-18 21:09:06","46","2017-11-09 16:26:21","2019","105"
"19410","Alex Reynolds","63129","3023","1224","6356","2008-09-20 00:07:45","42","2017-11-11 21:52:48","1411","233"
"20578","Paul D. Waite","57715","7718","346","7899","2008-09-11 10:52:31","37","2017-11-10 13:07:39","915","124"
"20938","Alan Moore","56150","2800","438","8604","2008-09-23 07:24:44","","2017-10-29 20:56:07","1492","0"
"21441","Mark Elliot","51403","2312","208","2627","2008-09-23 23:56:39","31","2017-11-06 21:58:57","591","41"
"21632","Adam Bellaire","69728","991","33","3365","2008-09-24 12:13:26","38","2017-09-29 13:27:34","360","25"
"21926","Sean Bright","81957","681","351","4202","2008-09-24 22:46:07","38","2017-11-11 17:34:33","740","4"
"22459","Ólafur Waage","54220","1121","51","6077","2008-09-25 23:06:55","35","2017-11-10 22:29:44","808","69"
"25050","Mr Fooz","52589","4214","44","1415","2008-10-04 02:05:27","","2017-11-08 17:23:59","279","34"
"27204","gnud","50059","245","6","1364","2008-10-12 12:45:52","","2017-11-08 17:09:59","334","1"
"27439","Vincent Ramdhanie","84985","3668","13","6575","2008-10-13 14:32:21","45","2017-11-11 00:54:47","1344","19"
"29995","Rob Hruska","81598","4092","522","6380","2008-10-21 15:14:46","34","2017-11-10 23:18:19","465","31"
"33006","Martin v. Löwis","87936","697","100","13556","2008-10-31 07:08:15","47","2017-11-06 07:27:07","1187","24"
"38360","Aaronaught","98337","1029","248","8151","2008-11-17 20:46:52","","2015-05-17 20:24:32","1041","52"
"39321","Svish","56777","1020","151","5297","2008-11-20 13:51:35","32","2017-11-10 13:47:02","279","471"
"40516","Juliet","55673","924","297","15223","2008-11-25 05:13:52","31","2014-11-21 22:09:47","440","48"
"42139","jeroen","76209","9719","7376","5804","2008-12-01 14:07:37","46","2017-11-11 22:53:02","3072","28"
"44309","High Performance Mark","64948","804","553","19015","2008-12-08 14:26:48","","2017-11-11 20:19:11","2049","0"
"44853","lc.","79934","7700","2669","4029","2008-12-10 04:36:06","34","2017-11-10 11:45:36","1613","25"
"45664","Andrzej Doyle","78506","3665","330","5559","2008-12-12 10:37:47","34","2017-11-11 22:06:09","1151","36"
"46926","Andrew Arnott","52496","975","80","4683","2008-09-18 22:53:54","","2017-11-08 21:47:14","741","81"
"48523","Andrew","79343","903","68","5023","2008-12-23 00:36:38","32","2017-11-10 22:55:43","274","725"
"51816","Joan Venge","80298","3191","427","8933","2009-01-05 21:39:06","","2017-09-06 10:06:19","23","743"
"53212","thomasrutter","79030","883","538","4157","2009-01-09 04:36:45","37","2017-11-10 05:39:35","555","31"
"59111","Ahmad Mageed","69913","2533","8","3887","2009-01-26 20:16:29","","2017-11-10 23:32:00","847","3"
"60261","Daniel Lew","60863","623","0","4567","2009-01-29 16:16:07","32","2017-11-02 18:34:44","360","45"
"62076","Alex Wayne","95957","2004","88","6281","2009-02-03 18:41:34","35","2017-11-11 00:16:13","1310","120"
"64949","Sindre Sorhus","55684","3399","1117","6167","2009-02-11 08:09:30","","2017-11-09 14:56:34","265","66"
"65696","SingleNegationElimination","97150","1832","53","14551","2009-02-12 18:32:43","","2017-11-11 12:16:41","1584","29"
"72247","Jarret Hardie","57719","2178","58","2472","2009-02-28 17:10:08","","2017-11-11 14:17:56","311","0"
"81179","ChristopheD","67533","1853","161","3485","2009-03-22 22:46:32","36","2017-11-10 17:41:35","636","18"
"81205","zombat","68969","2306","330","2713","2009-03-23 01:02:35","39","2017-11-11 22:16:23","754","7"
"84889","Peter Niederwieser","82271","84","161","6286","2009-03-31 00:20:13","","2016-03-28 11:18:17","1364","1"
"89771","Alix Axel","98251","7260","514","6908","2009-04-11 14:41:25","30","2017-11-12 01:04:14","1248","252"
"95612","Jochen Ritzel","67485","1757","80","6256","2009-04-24 17:03:31","34","2017-11-10 08:24:53","833","5"
"101258","Justin Ethier","84981","4660","54","7837","2009-05-05 02:01:42","37","2017-11-12 04:00:32","1473","64"
"107744","spencer7593","72184","2217","1089","2811","2009-05-15 14:38:07","","2017-11-12 03:30:15","3134","5"
"120955","StriplingWarrior","97552","4594","92","8526","2009-06-10 23:11:29","35","2017-11-11 21:25:19","1870","43"
"131433","bmargulies","71683","3923","14391","10646","2009-07-01 01:11:25","58","2017-11-12 02:31:34","1949","309"
"135786","Ben Lesh","90640","2088","190","5647","2009-07-09 16:59:12","40","2017-11-10 02:42:40","504","70"
"372","Jon Limjap","71076","2875","223","6327","2008-08-05 09:16:41","37","2017-11-10 21:12:48","459","14"
"392","Dan Herbert","61626","1793","79","3270","2008-08-05 12:29:07","31","2017-10-27 00:45:01","351","73"
"422","Chris Bunch","50741","1909","31","1997","2008-08-05 15:11:55","32","2017-10-26 18:07:52","180","48"
"1310","ScArcher2","51825","1209","19","1859","2008-08-14 13:42:16","38","2017-08-18 18:10:04","107","108"
"1450","John Topley","79370","3262","219","7654","2008-08-15 16:26:21","","2017-11-11 17:01:07","786","92"
"1659","Mark Cidade","78521","1627","227","4338","2008-08-17 20:20:20","40","2017-09-29 21:02:40","991","29"
"2147","Jason Baker","91422","5234","399","9258","2008-08-20 15:14:13","35","2017-11-10 18:17:35","495","320"
"2548","Fionnuala","80858","2557","417","13294","2008-08-22 19:13:09","","2017-11-06 20:38:20","3113","1"
"2938","JasonSmith","51378","2332","24","2547","2008-08-26 08:26:05","","2017-11-12 03:06:41","377","39"
"3501","Anders","59920","1774","311","3769","2008-08-28 19:56:11","34","2017-11-12 03:01:53","2113","12"
"5628","Prestaul","58368","720","195","2076","2008-09-10 15:11:46","37","2017-11-10 20:57:15","190","5"
"6440","redsquare","65337","801","473","5971","2008-09-15 10:01:27","","2017-11-11 21:37:00","787","25"
"6508","Jorge Ferreira","67884","1207","9","1437","2008-09-15 11:38:58","97","2017-11-10 13:00:34","253","22"
"7116","user7116","51091","10173","1729","6914","2008-09-15 13:12:04","34","2016-01-06 15:52:39","808","16"
"8279","Marc-André Lafortune","57436","1091","218","6527","2008-09-15 15:36:55","45","2017-11-10 22:04:37","618","31"
"8454","Andy Lester","58894","6073","658","5856","2008-09-15 16:04:14","50","2017-11-11 20:04:51","892","8"
"8815","Peter Bailey","88485","542","39","4774","2008-09-15 16:55:45","39","2017-11-07 18:10:42","1056","28"
"8954","Tamas Czinege","75451","2171","73","4793","2008-09-15 17:19:22","31","2017-11-08 07:11:42","437","32"
"9833","Shay Levy","73872","62","9","4420","2008-09-15 20:08:08","49","2015-07-12 13:29:11","1234","0"
"11236","ripper234","78474","5690","133","6908","2008-09-16 06:29:28","36","2017-10-04 14:56:33","191","880"
"11296","Bert F","54037","1653","73","2243","2008-09-16 06:56:46","","2017-11-10 23:00:33","447","0"
"13552","Greg Beech","89057","590","495","5367","2008-09-16 19:48:30","38","2017-11-11 21:47:55","454","60"
"16102","Cat Plus Plus","78147","2047","536","10467","2008-09-17 14:42:53","25","2017-11-11 21:12:06","918","0"
"17389","ysth","73705","1684","174","3322","2008-09-18 08:14:35","49","2017-11-11 00:33:32","1779","14"
"18180","troelskn","81605","937","139","3521","2008-09-18 19:54:08","40","2017-11-10 13:04:59","885","31"
"19635","M4N","69014","1404","58","3491","2008-09-20 14:27:15","45","2017-11-11 23:31:37","920","78"
"20261","Ikke","61357","884","81","1850","2008-09-22 07:12:50","29","2017-11-10 21:28:14","453","51"
"21239","Mauricio Scheffer","84273","5778","1094","13554","2008-09-23 16:48:00","","2017-10-23 15:01:10","1606","37"
"21475","Cameron","58089","6063","9","3737","2008-09-24 02:34:16","27","2017-11-10 18:08:09","747","66"
"24054","kgiannakakis","82357","2107","31","4493","2008-10-01 08:46:38","","2017-11-11 20:36:36","1760","7"
"25449","Tsvetomir Tsonev","79764","1034","7","3110","2008-10-06 10:49:51","34","2017-11-10 16:45:09","64","1"
"26210","Andrew Moore","69635","582","265","7353","2008-10-08 16:37:12","","2017-11-09 00:47:33","577","9"
"27423","Daniel Earwicker","87311","727","154","8967","2008-10-13 13:56:14","","2017-11-11 11:53:54","1192","40"
"32914","Mason Wheeler","60837","4029","207","6423","2008-10-30 22:10:38","35","2017-11-06 23:48:04","943","362"
"34218","Jason Coco","70167","2531","972","5616","2008-11-04 16:01:17","41","2017-11-10 16:23:03","620","1"
"39975","Dustin","59946","701","123","3117","2008-11-22 20:59:45","40","2017-11-09 16:10:01","417","21"
"41360","Vilx-","55609","625","73","4006","2008-11-27 12:59:33","32","2017-11-11 20:57:44","815","361"
"44562","soulmerge","55043","2673","205","1898","2008-12-09 11:04:10","35","2017-11-10 08:09:20","713","17"
"45773","Steffen Opel","50416","5862","43","2684","2008-12-12 16:57:33","49","2017-11-10 13:21:55","504","0"
"47529","chaos","96000","2710","782","5730","2008-12-18 19:59:49","43","2017-10-21 00:24:58","1249","19"
"53897","Thorbjørn Ravn Andersen","53462","2167","593","23779","2009-01-11 15:47:11","","2017-11-12 00:04:32","2893","157"
"54420","Josh Stodola","59387","2216","847","9367","2008-09-16 01:17:00","32","2017-11-09 19:51:47","764","105"
"59501","StaxMan","70625","2350","170","6995","2009-01-27 20:26:30","45","2017-11-08 23:26:42","1404","26"
"60096","Andy White","53296","5075","186","3685","2009-01-29 07:42:15","","2017-11-11 06:01:48","716","79"
"61700","itowlson","60471","1902","37","1824","2009-02-02 22:37:42","","2017-09-25 01:34:32","713","0"
"63756","womp","95559","4410","290","3947","2009-02-07 22:11:26","39","2017-11-11 20:16:48","1360","26"
"66353","Alan Haggai Alavi","52708","2187","14","3458","2009-02-14 04:17:33","31","2017-11-09 23:58:04","637","4"
"74118","nevan king","86597","1066","1","3947","2009-03-05 07:35:12","","2017-11-12 02:23:11","592","136"
"77335","HansUp","82609","7119","1003","5904","2009-03-12 17:16:38","","2017-10-21 19:47:33","2675","0"
"84270","John Machin","58225","549","571","7707","2009-03-29 14:21:13","","2017-07-14 08:14:19","1252","2"
"89266","dfa","85626","3203","531","4969","2009-04-09 21:45:43","36","2017-11-09 07:14:12","674","27"
"89817","Gordon Davisson","53312","1908","29","2169","2009-04-11 18:25:42","","2017-11-12 03:45:03","866","0"
